alphaCount;alphaNumCount;alphaWordCount;averageWordLengh;charSeq1;charSeq2;charSeq3;charSeq4;charSeq5;charSeq6;charSeq7;charSeq8;charSeq9;lineCount;maxRepeatedWordCount;maxWordLength;numberCount;whiteSpaceCount;spam
0.775862;0.798851;0.96875;4.34375;0;0.15625;0.28125;0.1875;0;0.125;0.09375;0;0;2;3;11;0.125;0.189655;SPAM
0.568035;0.676026;0.555891;2.836858;0.081571;0.090634;0.108761;0.072508;0.042296;0.039275;0.018127;0.018127;0.003021;14;1;10;0.453172;0.280778;SPAM
0.770318;0.780919;0.942529;5.08046;0.034483;0.091954;0.114943;0.206897;0.091954;0.068966;0.045977;0.045977;0.068966;10;3;12;0.068966;0.185512;SPAM
0.740148;0.777833;0.881956;5.325464;0.003373;0.053963;0.047218;0.059022;0.060708;0.055649;0.047218;0.03204;0.038786;49;2;13;0.25801;0.18399;SPAM
0.787234;0.795995;0.956023;4.864245;0.013384;0.038241;0.049713;0.078394;0.043977;0.061185;0.063098;0.047801;0.036329;20;3;14;0.053537;0.183667;SPAM
0.788;0.792;0.986395;5.387755;0;0.088435;0.07483;0.115646;0.088435;0.115646;0.102041;0.047619;0.054422;31;9;13;0.027211;0.177;SPAM
0.772124;0.772124;0.930556;4.847222;0.069444;0.097222;0.138889;0.194444;0.055556;0.097222;0.041667;0.055556;0.013889;14;4;12;0;0.192478;SPAM
0.786164;0.786164;0.952381;5.952381;0.047619;0.047619;0.142857;0.142857;0.190476;0.095238;0.047619;0.142857;0;8;5;14;0;0.169811;SPAM
0.85034;0.85034;0.986667;6.666667;0.013333;0.08;0.053333;0.093333;0.12;0.066667;0.146667;0.146667;0.146667;4;2;14;0;0.137755;SPAM
0.779184;0.78903;0.941748;5.446602;0.029126;0.106796;0.126214;0.116505;0.116505;0.029126;0.058252;0.038835;0.019417;14;4;14;0.067961;0.177215;SPAM
0.862205;0.862205;1;6.952381;0;0.031746;0.063492;0.063492;0.142857;0.15873;0.111111;0.222222;0.095238;4;4;14;0;0.129921;SPAM
0.749333;0.776;0.880597;4.343284;0.074627;0.089552;0.134328;0.208955;0.134328;0.044776;0.044776;0.044776;0.014925;4;3;14;0.149254;0.2;SPAM
0.801527;0.805344;0.969697;5.115152;0.018182;0.090909;0.10303;0.139394;0.10303;0.078788;0.048485;0.048485;0.048485;38;3;22;0.024242;0.175573;SPAM
0.83871;0.83871;1;5.571429;0;0.214286;0;0.142857;0.142857;0.142857;0.071429;0;0;4;2;18;0;0.150538;SPAM
0.714286;0.716749;0.954545;4.409091;0.045455;0.106061;0.181818;0.212121;0.045455;0.060606;0.075758;0;0.015152;17;3;13;0.015152;0.221675;SPAM
0.709402;0.760684;0.901961;5.235294;0.058824;0.098039;0.078431;0.137255;0.078431;0.117647;0.137255;0.117647;0.019608;8;4;12;0.352941;0.190883;SPAM
0.599294;0.687555;0.588933;3.079051;0.086957;0.094862;0.110672;0.090909;0.047431;0.039526;0.031621;0.019763;0.007905;15;1;13;0.395257;0.267432;SPAM
0.739292;0.743017;0.873418;5.050633;0.101266;0.075949;0.139241;0.075949;0.088608;0.088608;0.075949;0.088608;0.025316;23;2;21;0.025316;0.201117;SPAM
0.666667;0.673203;0.953846;4.753846;0.030769;0.123077;0.153846;0.138462;0.076923;0.123077;0.123077;0.030769;0.030769;11;2;10;0.046154;0.233115;SPAM
0.694639;0.714452;0.818182;4.643939;0.098485;0.05303;0.090909;0.075758;0.083333;0.075758;0.060606;0.022727;0.045455;31;5;17;0.128788;0.219114;SPAM
0.705882;0.745098;0.75;4.75;0.25;0.125;0;0;0.25;0;0.25;0;0;1;1;10;0.25;0.196078;SPAM
0.373832;0.457944;0.473684;2.578947;0.421053;0.052632;0.210526;0.105263;0.052632;0.052632;0.052632;0;0;1;1;7;0.473684;0.35514;SPAM
0.710036;0.748938;0.856299;4.509843;0.029528;0.082677;0.076772;0.090551;0.07874;0.064961;0.07874;0.037402;0.021654;88;2;14;0.234252;0.20595;SPAM
0.766968;0.780543;0.911765;5.073529;0.044118;0.088235;0.073529;0.147059;0.161765;0.088235;0.102941;0.014706;0.058824;15;6;10;0.088235;0.18552;SPAM
0.784844;0.802436;0.92381;5.647619;0.028571;0.104762;0.104762;0.12381;0.12381;0.028571;0.07619;0.038095;0.028571;14;4;14;0.12381;0.169147;SPAM
0.683673;0.688776;0.947368;4.736842;0.035088;0.070175;0.157895;0.210526;0.035088;0.070175;0.105263;0.087719;0.017544;9;5;13;0.035088;0.22449;SPAM
0.796443;0.804348;0.931507;5.575342;0.041096;0.041096;0.082192;0.205479;0.136986;0.068493;0.136986;0.109589;0.082192;7;1;11;0.054795;0.16996;SPAM
0.852772;0.852772;1;6.558824;0;0.058824;0.117647;0.029412;0.132353;0.117647;0.220588;0.117647;0.044118;4;8;12;0;0.137667;SPAM
0.751962;0.759372;0.919708;4.238443;0.019465;0.058394;0.058394;0.124088;0.092457;0.077859;0.043796;0.026764;0.021898;50;3;14;0.041363;0.209677;SPAM
0.477133;0.611377;0.667799;3.650815;0.009511;0.026495;0.027853;0.036685;0.031929;0.016984;0.018342;0.01019;0.003397;143;2;14;0.80163;0.278043;SPAM
0.757878;0.779918;0.907538;4.801005;0.01608;0.046231;0.049246;0.066332;0.059296;0.052261;0.067337;0.036181;0.01809;179;2;16;0.135678;0.190531;SPAM
0.857499;0.859993;0.977654;6.743017;0.011173;0.01676;0.050279;0.106145;0.114525;0.122905;0.128492;0.139665;0.108939;22;3;14;0.019553;0.133595;SPAM
