alphaCount;alphaNumCount;alphaWordCount;averageWordLengh;charSeq1;charSeq2;charSeq3;charSeq4;charSeq5;charSeq6;charSeq7;charSeq8;charSeq9;lineCount;maxRepeatedWordCount;maxWordLength;numberCount;whiteSpaceCount;spam
0.586957;0.633779;0.795918;3.867347;0.112245;0.102041;0.132653;0.112245;0.102041;0.05102;0.081633;0.020408;0.010204;24;3;9;0.285714;0.264214;SPAM
0.730072;0.733696;0.95;5.0625;0.025;0.1;0.1125;0.15;0.1125;0.15;0.1;0.0375;0.0125;19;3;13;0.025;0.20471;SPAM
0.753868;0.756681;0.921053;4.719298;0.052632;0.078947;0.114035;0.157895;0.061404;0.105263;0.078947;0.035088;0.008772;12;4;14;0.017544;0.201125;SPAM
0.88;0.88;0.964286;8.642857;0.035714;0.035714;0.107143;0.035714;0.071429;0.107143;0.214286;0.035714;0;6;7;19;0;0.109091;SPAM
0.748918;0.750155;0.988166;7.177515;0.011834;0.011834;0.04142;0.076923;0.088757;0.16568;0.177515;0.112426;0.118343;25;2;13;0.011834;0.176871;SPAM
0.634211;0.65;0.875;4.410714;0.071429;0.089286;0.125;0.125;0.035714;0.089286;0.053571;0.089286;0;8;6;8;0.107143;0.247368;SPAM
0.828987;0.828987;0.977612;6.16791;0.011194;0.033582;0.048507;0.052239;0.186567;0.197761;0.108209;0.149254;0.160448;41;1;12;0;0.152457;SPAM
0.696023;0.704545;0.964912;4.350877;0.017544;0.087719;0.210526;0.157895;0.157895;0.122807;0.087719;0;0.017544;11;6;9;0.052632;0.227273;SPAM
0.749017;0.760031;0.925532;5.138298;0.021277;0.106383;0.095745;0.106383;0.12234;0.111702;0.069149;0.058511;0.010638;34;3;13;0.074468;0.193548;SPAM
0.641851;0.678068;0.831169;4.376623;0.038961;0.116883;0.116883;0.12987;0.077922;0.12987;0.064935;0.012987;0;11;5;12;0.233766;0.237425;SPAM
0.700148;0.714919;0.9;4.033333;0.041667;0.133333;0.116667;0.158333;0.066667;0.083333;0.05;0.016667;0.041667;13;4;10;0.083333;0.230428;SPAM
0.704545;0.717914;0.931034;4.62931;0.017241;0.112069;0.112069;0.198276;0.086207;0.068966;0.051724;0.103448;0.017241;18;3;15;0.086207;0.217914;SPAM
0.71134;0.71134;0.608696;3;0.304348;0.217391;0.086957;0.043478;0.086957;0.086957;0.043478;0;0;3;1;11;0;0.154639;SPAM
0.750779;0.750779;0.981481;4.462963;0.018519;0.203704;0.111111;0.203704;0.111111;0.018519;0.055556;0.037037;0.055556;7;3;13;0;0.208723;SPAM
0.768595;0.77686;0.935484;6.064516;0.032258;0.193548;0.16129;0.064516;0.096774;0.064516;0.032258;0.064516;0;8;4;17;0.064516;0.173554;SPAM
0.716129;0.716129;1;5.842105;0;0.105263;0.263158;0.105263;0.105263;0;0.105263;0;0.105263;4;10;11;0;0.2;SPAM
0.776163;0.777616;0.847826;3.876812;0.108696;0.181159;0.15942;0.101449;0.137681;0.123188;0.137681;0;0;7;1;12;0.007246;0.210756;SPAM
0.662763;0.700234;0.861538;4.6;0.030769;0.123077;0.138462;0.123077;0.092308;0.153846;0.076923;0.030769;0;11;5;12;0.246154;0.224824;SPAM
0.696203;0.740506;0.884615;4.5;0;0.115385;0.423077;0.076923;0;0.038462;0.038462;0.038462;0;3;8;10;0.269231;0.208861;SPAM
0.854985;0.854985;0.988764;6.359551;0.011236;0.044944;0.089888;0.11236;0.11236;0.134831;0.11236;0.134831;0.067416;5;6;14;0;0.138973;SPAM
0.767078;0.768724;0.950495;4.623762;0.024752;0.089109;0.108911;0.148515;0.059406;0.09901;0.054455;0.059406;0.034653;22;3;16;0.009901;0.198354;SPAM
0.66242;0.726115;0.709091;4.145455;0.109091;0.090909;0.145455;0.163636;0.145455;0.054545;0.036364;0.072727;0.018182;5;1;10;0.363636;0.22293;SPAM
0.750636;0.755725;0.907692;4.569231;0.046154;0.2;0.123077;0.138462;0.076923;0.046154;0.123077;0.076923;0.030769;9;4;14;0.030769;0.203562;SPAM
0.8125;0.8125;1;5.2;0;0;0;0.4;0.2;0.2;0.2;0;0;1;7;7;0;0.15625;SPAM
0.75;0.75;0.866667;3.6;0.133333;0.2;0.133333;0.266667;0.133333;0;0.133333;0;0;2;5;7;0;0.222222;SPAM
0.790366;0.79215;0.973118;4.774194;0.021505;0.05914;0.069892;0.123656;0.05914;0.064516;0.064516;0.053763;0.032258;17;3;14;0.010753;0.186441;SPAM
0.419028;0.449393;0.77551;4.530612;0.061224;0.183673;0.040816;0.142857;0.102041;0.040816;0.102041;0.040816;0.020408;10;4;12;0.306122;0.323887;SPAM
0.708415;0.728963;0.910448;5.559701;0.022388;0.074627;0.089552;0.141791;0.11194;0.119403;0.037313;0.08209;0.029851;15;4;16;0.156716;0.200587;SPAM
